  0, "! Startup Juno Osc",      1,  58.4,  14.4,  24.5,  34.5,  44.6
  1, "ARP 303 Like FN",         1,  59.0,  23.7,  35.5,  46.5,  57.8
  2, "ARP 303 Like II FN",      1,  58.4,  24.3,  36.7,  48.5,  60.7
  3, "ARP C64 FN",              1,  57.8,  34.2,  54.4,  74.2,  94.4
  4, "ARP C64 II FN",           1,  57.8,  33.3,  53.4,  72.7,  92.7
  5, "ARP C64 III FN",          1,  57.1,  33.3,  53.3,  73.5,  94.0
  6, "ARP C64 IV FN",           1,  57.8,  28.5,  40.5,  52.5,  65.1
  7, "ARP Demotrack ARP FN",    6,  57.8,  16.8,  28.6,  40.1,  51.7
  8, "ARP Rumpelkammer FN",     1,  57.1,  19.4,  32.6,  45.8,  59.0
  9, "BS 007 X",                6,  57.1,  18.3,  31.0,  43.3,  56.0
 10, "BS 7th Gates FN",         1,  57.1,  15.3,  26.3,  36.9,  47.3
 11, "BS Bass Deep Room",       1,  56.5,  23.6,  35.2,  46.1,  57.2
 12, "BS Bassolead FN",         1,  56.5,  28.0,  42.0,  55.9,  70.2
 13, "BS Basspa_ FN",           1,  56.5,  18.5,  31.1,  43.6,  56.1
 14, "BS C64 Octavebass FN",    1,  56.5,  26.9,  45.7,  63.9,  82.5
 15, "BS Clean Flat Bass",      1,  57.1,  15.2,  26.2,  36.9,  47.5
 16, "BS D&B Wubler",           1,  57.1,  16.5,  28.8,  40.3,  52.3
 17, "BS Dark Bass",            1,  56.5,  16.4,  28.6,  40.6,  52.4
 18, "BS Dark Night FN",        3,  56.5,  18.0,  29.1,  39.8,  51.1
 19, "BS Detuned FN",           1,  56.5,  18.7,  31.2,  43.7,  56.4
 20, "BS Easy Listener FN",     6,  56.5,  18.4,  31.1,  43.4,  56.0
 21, "BS Energyator FN",        1,  56.5,  15.6,  26.7,  37.3,  48.5
 22, "BS Fat Side FN",          1,  56.5,  16.4,  28.8,  40.9,  52.9
 23, "BS Flamming Bass FN",     1,  56.5,  18.0,  29.7,  41.8,  53.6
 24, "BS Goodspeed FN",         1,  56.5,  23.8,  34.8,  45.7,  56.7
 25, "BS Hard 80's",            1,  56.5,  16.6,  26.5,  36.5,  46.7
 26, "BS Knarziger FN",         1,  55.8,  17.0,  27.4,  37.7,  48.3
 27, "BS LFO Roller FN",        1,  56.5,  18.0,  30.3,  42.5,  55.0
 28, "BS Madskillz FN",         1,  55.8,  23.0,  33.1,  43.3,  54.0
 29, "BS Mixmiddle FN",         1,  55.8,  21.5,  39.0,  56.5,  74.1
 30, "BS Night And Day FN",     6,  56.5,  18.2,  30.4,  42.5,  54.7
 31, "BS Noizigian FN",         1,  55.8,  18.1,  30.7,  43.3,  56.0
 32, "BS Open Bass FN",         1,  56.5,  16.4,  28.0,  39.4,  51.2
 33, "BS Pluggiator FN",        1,  56.5,  23.7,  35.4,  46.5,  57.6
 34, "BS SAWbreaker FN",        1,  55.8,  17.8,  29.2,  40.2,  51.3
 35, "BS Sawlight FN",          1,  55.8,  19.8,  31.2,  42.4,  53.8
 36, "BS Sci Fi",               1,  56.5,  24.2,  42.1,  60.3,  78.3
 37, "BS Slow Filter FN",       1,  55.8,  26.9,  40.0,  53.1,  66.1
 38, "BS Small Bassist FN",     6,  56.5,  26.1,  38.3,  50.4,  62.8
 39, "BS Syncetel Bass FN",     6,  55.8,  17.0,  27.4,  37.8,  48.3
 40, "BS Tripple Wobbler",      1,  55.8,  15.9,  27.5,  38.9,  50.5
 41, "BS Wobbler FN",           1,  56.5,  27.2,  40.8,  54.4,  68.5
 42, "BS Wobbler II FN",        1,  55.8,  28.0,  42.3,  56.8,  71.6
 43, "CD Universal FN",         1,  55.8,  26.0,  37.8,  49.6,  62.1
 44, "CH Chordionator FN",      6,  55.8,  25.2,  36.6,  48.0,  60.0
 45, "CH Chordionator II FN",   1,  56.5,  25.4,  36.8,  48.2,  60.3
 46, "CH Chordionator III FN",  3,  55.8,  15.7,  27.2,  38.7,  49.8
 47, "CH Chordionator IV FN",   1,  55.8,  23.8,  35.1,  46.6,  58.4
 48, "CH Open Mind FN",         1,  55.8,  26.2,  38.0,  49.9,  62.0
 49, "CH SIDchord FN",          6,  55.8,  27.4,  40.6,  53.9,  67.6
 50, "DR 8bit  Kick II FN",     1,  55.8,  23.2,  36.2,  49.1,  62.4
 51, "DR 8bit  Kick III FN",    6,  56.5,  28.7,  40.8,  53.1,  65.6
 52, "DR 8bit Kick FN",         6,  55.8,  25.6,  36.6,  47.9,  59.4
 53, "DR Crash Space",          6,  55.8,  23.4,  42.8,  62.4,  82.2
 54, "DR Hat Reverse",          1,  55.2,  17.9,  32.1,  46.2,  60.1
 55, "DR Hat Short Moves",      1,  55.8,  18.3,  32.2,  46.1,  60.1
 56, "DR Hat Short",            4,  55.8,  17.9,  31.9,  45.7,  59.7
 57, "DR HiHat FN",             1,  56.5,  13.7,  22.6,  31.6,  40.5
 58, "DR Kick Clean",           1,  55.8,  19.3,  34.0,  48.9,  63.7
 59, "DR Kick FN",              1,  56.5,  14.9,  24.8,  34.8,  44.8
 60, "DR Kick II FN",           1,  55.8,  28.7,  38.9,  49.2,  59.6
 61, "DR Kick III FN",          1,  55.2,  28.5,  40.5,  52.6,  65.0
 62, "DR Kick Old School",      6,  55.8,  19.3,  34.1,  48.9,  63.8
 63, "DR Kick Phat",            1,  55.8,  26.5,  40.6,  54.8,  69.3
 64, "DR Perc Bongo Room",      1,  55.2,  23.9,  35.9,  48.1,  60.2
 65, "DR Perc Room",            1,  55.8,  22.3,  32.6,  42.9,  53.5
 66, "DR Snare Dry",            1,  55.8,  21.1,  34.3,  46.7,  59.3
 67, "DR Sub Impact",           1,  55.2,  15.0,  25.1,  35.3,  45.4
 68, "FX Alien Storm",          1,  55.8, 103.1, 103.7, 104.5, 106.0
 69, "FX Blubberwasser FN",     1,  54.5,  33.1,  50.8,  69.1,  87.9
 70, "FX Break FM",             6,  55.2,  35.2,  59.3,  84.1, 110.0
 71, "FX C64 FN",               1,  55.2,  31.6,  49.1,  66.3,  83.1
 72, "FX Digital Transfer",     1,  55.2,  32.1,  53.2,  75.2,  98.6
 73, "FX Falling Break",        1,  55.2,  54.5,  54.5,  54.3,  54.4
 74, "FX Metallica FN",         1,  55.2,  65.8,  65.9,  50.8,  66.1
 75, "FX Mod Triangle FM",      1,  55.8,  16.5,  29.2,  42.2,  55.2
 76, "FX Noiz3machin3 FN",      1,  55.2,  28.9,  48.5,  65.0,  80.7
 77, "FX Quitscheentchen FN",   6,  55.2,  33.2,  50.8,  68.9,  87.8
 78, "FX Radeberger FN",        6,  55.8,  39.0,  66.4,  93.9, 121.5
 79, "FX Raindrops FN",         6,  54.5,  87.0,  51.0,  68.8,  87.0
 80, "FX Reverse FM",           6,  55.2,  17.6,  30.4,  43.1,  55.8
 81, "FX SO 6dB Sweep",         1,  55.2,  15.3,  26.1,  37.0,  47.7
 82, "FX Swell FN",             1,  55.2,  25.1,  38.3,  51.4,  65.0
 83, "FX Turntable FN",         6,  55.8,  38.4,  59.8,  81.3, 104.4
 84, "KB Big Synth FN",         6,  54.5,  58.1,  58.3,  58.1,  58.0
 85, "KB E-Piano",              6,  55.2,  23.4,  34.9,  45.7,  57.4
 86, "KB Glockenschlag FN",     4,  55.8,  25.9,  38.3,  50.5,  63.5
 87, "KB Piano House",          6,  55.2,  25.4,  37.1,  48.5,  59.7
 88, "KB White Noise FN",       3,  55.2,  23.5,  35.0,  46.3,  58.2
 89, "LD 8bitter II FN",        6,  55.2,  29.1,  41.9,  54.4,  67.2
 90, "LD Acid Saw",             6,  55.2,  15.7,  27.1,  37.8,  48.6
 91, "LD Bon Voyage FN",        1,  55.2,  23.2,  33.8,  44.1,  55.1
 92, "LD Crystal Lead",         1,  55.8,  24.9,  37.6,  50.3,  63.5
 93, "LD Drop In Pulse",        3,  55.2,  58.9,  58.9,  58.4,  58.8
 94, "LD Funky Mod",            1,  55.2,  15.3,  26.2,  36.9,  47.6
 95, "LD Metal Wahuuu",         1,  55.2,  17.5,  31.4,  44.5,  57.8
 96, "LD Morph Sync",           1,  55.2,  31.9,  52.3,  72.5,  93.3
 97, "LD Noisy Sync Lead",      1,  55.8,  20.5,  37.3,  54.0,  70.6
 98, "LD Plastic Attack",       1,  55.2,  20.1,  32.4,  44.4,  56.3
 99, "LD Pleutonium FN",        1,  55.8,  26.1,  36.1,  45.9,  55.9
100, "LD Plucked String",       1,  55.2,  28.3,  42.8,  57.4,  72.5
101, "LD Power Lead",           5,  55.2,  19.3,  33.5,  47.6,  61.6
102, "LD Resobells FN",         1,  55.2,  28.8,  42.3,  56.0,  70.3
103, "LD Sci Fi Organ",         6,  55.8,  28.5,  45.6,  62.8,  80.5
104, "LD Soft Bell Lead",       4,  55.2,  29.5,  47.9,  66.1,  84.7
105, "LD Special Starter",      1,  55.2,  28.9,  45.2,  62.0,  78.9
106, "LD Spring Bell",          2,  55.8,  29.8,  48.4,  67.5,  87.1
107, "LD SYNCElead FN",         1,  54.5,  27.1,  40.6,  54.4,  68.7
108, "LD Technoshocker FN",     1,  55.2,  17.3,  30.0,  42.9,  55.9
109, "LD Thin Lead",            1,  55.2,  26.7,  39.7,  53.2,  67.3
110, "LD Tranceline FN",        1,  54.5,  27.1,  38.0,  49.2,  60.8
111, "LD Woholead FN",          1,  55.2,  16.0,  27.1,  38.3,  49.4
112, "PD  Ringmodded FN",       1,  55.2,  29.2,  42.1,  55.2,  68.8
113, "PD Base Pad",             6,  55.2,  51.6,  51.8,  39.7,  51.0
114, "PD Bellomatism FN",       3,  55.2,  64.2,  64.4,  51.1,  64.4
115, "PD Big Trancer FN",       6,  55.2,  27.1,  38.7,  50.4,  62.6
116, "PD Bit Orchestra",        6,  55.2,  28.3,  43.1,  58.4,  74.4
117, "PD Bursting Pad",         4,  55.2,  33.8,  54.5,  75.0,  96.0
118, "PD Dark Animations FN",   3,  55.2,  24.2,  36.2,  48.1,  59.9
119, "PD Easymat FN",           6,  54.5,  25.8,  37.6,  49.7,  62.1
120, "PD Floating Pad",         6,  55.2,  32.8,  54.4,  76.2,  99.2
121, "PD Gated Pad",            3,  54.5,  68.8,  67.1,  68.0,  69.0
122, "PD Glasometer FN",        3,  54.5,  68.0,  68.3,  54.5,  68.5
123, "PD Open Square FN",       6,  55.2,  65.4,  53.9,  54.3,  67.2
124, "PD Padwobbler FN",        6,  55.2,  74.7,  59.6,  60.3,  75.6
125, "PD Sun Rise",             6,  55.2,  72.0,  42.3,  57.3,  72.9
126, "PD Sweet Analogue",       4,  54.5,  73.4,  72.4,  73.0,  72.5
127, "PD Twoflower FN",         4,  55.2,  83.5,  82.0,  82.6,  77.7
  0, "! Startup Juno Osc",      6,  64.8,  14.3,  24.5,  34.4,  44.5
  1, "ARP 303 Like FN",         1,  62.9,  23.7,  35.5,  46.3,  57.6
  2, "ARP 303 Like II FN",      1,  62.2,  24.2,  36.7,  48.6,  61.0
  3, "ARP C64 FN",              1,  62.2,  34.2,  54.4,  74.1,  94.5
  4, "ARP C64 II FN",           1,  62.2,  33.3,  53.3,  72.8,  92.4
  5, "ARP C64 III FN",          1,  61.6,  33.4,  53.3,  73.4,  94.0
  6, "ARP C64 IV FN",           1,  61.0,  28.4,  40.5,  52.5,  65.0
  7, "ARP Demotrack ARP FN",    6,  61.0,  16.8,  28.6,  40.1,  51.7
  8, "ARP Rumpelkammer FN",     1,  60.3,  19.5,  32.5,  45.8,  59.0
  9, "BS 007 X",                6,  60.3,  18.4,  31.0,  43.3,  56.0
 10, "BS 7th Gates FN",         1,  60.3,  15.3,  26.3,  36.9,  47.3
 11, "BS Bass Deep Room",       1,  59.7,  23.6,  35.2,  46.0,  57.0
 12, "BS Bassolead FN",         1,  59.7,  28.1,  42.0,  55.9,  70.1
 13, "BS Basspa_ FN",           1,  59.7,  18.5,  31.1,  43.6,  56.1
 14, "BS C64 Octavebass FN",    1,  59.7,  26.9,  45.7,  63.9,  82.5
 15, "BS Clean Flat Bass",      1,  59.7,  15.2,  26.2,  37.0,  47.6
 16, "BS D&B Wubler",           1,  59.0,  16.5,  28.9,  40.5,  52.6
 17, "BS Dark Bass",            1,  59.0,  16.3,  28.7,  40.7,  52.5
 18, "BS Dark Night FN",        3,  59.0,  18.0,  29.1,  39.8,  51.1
 19, "BS Detuned FN",           1,  58.4,  18.7,  31.2,  43.7,  56.4
 20, "BS Easy Listener FN",     6,  58.4,  18.4,  31.1,  43.4,  56.0
 21, "BS Energyator FN",        1,  59.0,  15.6,  26.7,  37.3,  48.4
 22, "BS Fat Side FN",          1,  59.0,  16.4,  28.8,  40.9,  52.9
