  0, "! Startup Juno Osc",      6,  55.8,  11.9,  20.3,  28.7,  37.1,  45.4
  1, "ARP 303 Like FN",         1,  56.5,  19.7,  29.6,  38.6,  47.9,  56.9
  2, "ARP 303 Like II FN",      1,  57.1,  20.2,  30.6,  40.5,  50.8,  60.1
  3, "ARP C64 FN",              1,  57.1,  28.5,  45.3,  61.8,  78.5,  95.3
  4, "ARP C64 II FN",           1,  57.1,  27.8,  44.4,  60.5,  77.2,  93.3
  5, "ARP C64 III FN",          1,  57.1,  27.8,  44.3,  61.2,  78.3,  95.2
  6, "ARP C64 IV FN",           1,  57.1,  23.7,  33.7,  43.8,  54.3,  64.4
  7, "ARP Demotrack ARP FN",    6,  57.8,  14.0,  23.8,  33.4,  43.1,  52.5
  8, "ARP Rumpelkammer FN",     1,  57.1,  16.2,  27.3,  38.2,  49.0,  59.9
  9, "BS 007 X",                6,  57.1,  15.3,  25.9,  36.1,  46.6,  57.0
 10, "BS 7th Gates FN",         1,  57.8,  12.7,  21.9,  30.6,  39.5,  48.1
 11, "BS Bass Deep Room",       1,  57.8,  19.6,  29.3,  38.4,  47.6,  56.4
 12, "BS Bassolead FN",         1,  57.8,  23.4,  35.0,  46.5,  58.5,  70.1
 13, "BS Basspa_ FN",           1,  57.8,  15.4,  25.9,  36.3,  46.8,  57.2
 14, "BS C64 Octavebass FN",    1,  57.8,  22.4,  38.0,  53.3,  68.7,  84.1
 15, "BS Clean Flat Bass",      1,  58.4,  12.7,  21.8,  30.7,  39.6,  48.6
 16, "BS D&B Wubler",           1,  57.8,  13.8,  24.0,  33.8,  43.8,  53.3
 17, "BS Dark Bass",            1,  57.8,  13.6,  23.9,  33.9,  43.6,  53.2
 18, "BS Dark Night FN",        3,  57.8,  15.0,  24.1,  33.3,  42.5,  51.4
 19, "BS Detuned FN",           1,  57.8,  15.6,  26.0,  36.5,  46.9,  57.1
 20, "BS Easy Listener FN",     6,  57.8,  15.3,  25.9,  36.2,  46.7,  57.0
 21, "BS Energyator FN",        1,  57.8,  13.0,  22.0,  31.1,  40.2,  49.1
 22, "BS Fat Side FN",          1,  57.8,  13.7,  24.0,  34.1,  44.0,  53.4
 23, "BS Flamming Bass FN",     1,  58.4,  15.0,  24.8,  34.6,  44.5,  54.3
 24, "BS Goodspeed FN",         1,  57.8,  19.8,  29.0,  38.0,  47.3,  56.2
 25, "BS Hard 80's",            1,  58.4,  13.8,  22.3,  30.5,  38.9,  47.1
 26, "BS Knarziger FN",         1,  57.8,  14.2,  22.8,  31.4,  40.2,  48.9
 27, "BS LFO Roller FN",        1,  58.4,  15.0,  25.2,  35.3,  45.5,  55.7
 28, "BS Madskillz FN",         1,  58.4,  19.2,  27.6,  36.0,  44.9,  53.3
 29, "BS Mixmiddle FN",         1,  57.8,  17.9,  32.5,  47.1,  61.7,  76.3
 30, "BS Night And Day FN",     6,  57.8,  15.2,  25.3,  35.4,  45.6,  55.6
 31, "BS Noizigian FN",         1,  58.4,  15.1,  25.6,  36.0,  46.6,  57.1
 32, "BS Open Bass FN",         1,  58.4,  13.7,  23.4,  32.8,  42.6,  52.1
 33, "BS Pluggiator FN",        1,  57.8,  19.8,  29.5,  38.6,  48.0,  57.1
 34, "BS SAWbreaker FN",        1,  58.4,  14.8,  24.3,  33.5,  42.8,  52.0
 35, "BS Sawlight FN",          1,  57.8,  16.5,  26.0,  35.3,  44.8,  54.2
 36, "BS Sci Fi",               1,  57.8,  20.4,  35.1,  50.1,  65.3,  80.3
 37, "BS Slow Filter FN",       1,  57.8,  22.4,  33.3,  44.3,  55.2,  65.6
 38, "BS Small Bassist FN",     6,  57.8,  21.7,  32.0,  42.0,  52.4,  62.5
 39, "BS Syncetel Bass FN",     6,  58.4,  14.2,  22.9,  31.5,  40.3,  49.0
 40, "BS Tripple Wobbler",      1,  59.0,  13.2,  22.9,  32.4,  41.9,  51.4
 41, "BS Wobbler FN",           1,  58.4,  22.7,  34.0,  45.4,  57.1,  68.0
 42, "BS Wobbler II FN",        1,  58.4,  23.3,  35.3,  47.4,  59.7,  71.9
 43, "CD Universal FN",         1,  58.4,  21.6,  31.6,  41.4,  51.7,  61.8
 44, "CH Chordionator FN",      6,  58.4,  21.0,  30.5,  40.0,  49.9,  58.8
 45, "CH Chordionator II FN",   1,  58.4,  21.2,  30.6,  40.2,  50.2,  59.2
 46, "CH Chordionator III FN",  3,  58.4,  13.1,  22.7,  32.2,  41.5,  50.8
 47, "CH Chordionator IV FN",   1,  57.8,  19.9,  29.3,  38.7,  48.9,  58.4
 48, "CH Open Mind FN",         1,  59.0,  21.8,  31.7,  41.6,  51.9,  61.7
 49, "CH SIDchord FN",          6,  58.4,  22.9,  33.8,  44.9,  56.3,  67.4
 50, "DR 8bit  Kick II FN",     1,  57.8,  19.3,  30.2,  40.9,  52.0,  62.8
 51, "DR 8bit  Kick III FN",    6,  58.4,  23.9,  34.1,  44.1,  54.8,  65.1
 52, "DR 8bit Kick FN",         6,  57.8,  21.4,  30.5,  40.0,  49.4,  59.2
 53, "DR Crash Space",          6,  59.0,  19.6,  35.7,  52.1,  68.4,  85.1
 54, "DR Hat Reverse",          1,  58.4,  14.9,  26.7,  38.5,  50.1,  61.9
 55, "DR Hat Short Moves",      1,  58.4,  15.3,  26.8,  38.5,  50.1,  61.6
 56, "DR Hat Short",            4,  58.4,  14.9,  26.5,  38.2,  49.8,  61.2
 57, "DR HiHat FN",             1,  58.4,  11.4,  18.8,  26.4,  33.7,  41.1
 58, "DR Kick Clean",           1,  58.4,  16.1,  28.4,  40.8,  53.1,  65.3
 59, "DR Kick FN",              1,  58.4,  12.4,  20.7,  29.0,  37.4,  45.5
 60, "DR Kick II FN",           1,  58.4,  23.9,  32.4,  41.0,  49.7,  58.2
 61, "DR Kick III FN",          1,  58.4,  23.8,  33.8,  43.8,  54.1,  64.2
 62, "DR Kick Old School",      6,  59.0,  16.1,  28.4,  40.8,  53.1,  65.4
 63, "DR Kick Phat",            1,  58.4,  22.0,  33.8,  45.8,  57.6,  69.4
 64, "DR Perc Bongo Room",      1,  58.4,  20.0,  29.9,  40.0,  50.2,  59.8
 65, "DR Perc Room",            1,  58.4,  18.6,  27.2,  35.8,  44.4,  52.5
 66, "DR Snare Dry",            1,  59.0,  17.6,  28.5,  39.0,  49.5,  59.8
 67, "DR Sub Impact",           1,  59.0,  12.5,  20.9,  29.4,  37.8,  46.1
 68, "FX Alien Storm",          1,  58.4,  54.0,  48.3,  68.4,  88.9, 109.1
 69, "FX Blubberwasser FN",     1,  58.4,  27.5,  42.3,  57.4,  72.9,  88.1
 70, "FX Break FM",             6,  59.0,  29.4,  49.4,  70.2,  91.6, 113.2
 71, "FX C64 FN",               1,  58.4,  26.3,  40.9,  55.2,  69.0,  82.6
 72, "FX Digital Transfer",     1,  57.8,  26.7,  44.3,  62.6,  82.1, 102.4
 73, "FX Falling Break",        1,  57.8,  54.3,  54.2,  54.0,  54.0,  54.0
 74, "FX Metallica FN",         1,  57.8,  67.5,  67.5,  42.3,  55.0,  67.7
 75, "FX Mod Triangle FM",      1,  58.4,  13.8,  24.3,  35.2,  46.0,  56.7
 76, "FX Noiz3machin3 FN",      1,  58.4,  24.1,  38.8,  55.7,  67.3,  81.9
 77, "FX Quitscheentchen FN",   6,  58.4,  27.6,  42.2,  57.6,  73.1,  88.4
 78, "FX Radeberger FN",        6,  59.0,  27.4,  45.2,  63.1,  78.3,  99.1
 79, "FX Raindrops FN",         6,  57.1,  87.6,  55.9,  57.4,  72.6,  87.3
 80, "FX Reverse FM",           6,  59.0,  14.7,  25.3,  35.9,  46.5,  57.1
 81, "FX SO 6dB Sweep",         1,  59.0,  12.8,  21.8,  30.8,  39.6,  48.4
 82, "FX Swell FN",             1,  58.4,  21.0,  31.9,  42.8,  54.3,  65.3
 83, "FX Turntable FN",         6,  58.4,  31.9,  49.8,  67.7,  87.0, 106.9
 84, "KB Big Synth FN",         6,  57.8,  57.0,  57.2,  56.9,  48.2,  56.7
 85, "KB E-Piano",              6,  58.4,  19.4,  28.9,  38.1,  47.5,  58.8
 86, "KB Glockenschlag FN",     4,  58.4,  21.6,  31.9,  41.9,  52.7,  63.7
 87, "KB Piano House",          6,  58.4,  21.1,  30.7,  40.3,  49.8,  59.0
 88, "KB White Noise FN",       3,  58.4,  19.7,  29.0,  38.6,  48.3,  57.5
 89, "LD 8bitter II FN",        6,  59.7,  24.2,  34.9,  45.4,  56.0,  66.0
 90, "LD Acid Saw",             6,  58.4,  13.1,  22.6,  31.5,  40.5,  49.3
 91, "LD Bon Voyage FN",        1,  58.4,  19.3,  28.1,  36.8,  45.8,  54.5
 92, "LD Crystal Lead",         1,  58.4,  20.7,  31.3,  41.9,  52.9,  63.7
 93, "LD Drop In Pulse",        3,  59.0,  59.1,  58.9,  48.5,  49.0,  58.4
