  0, "! Startup Juno Osc",      6,  64.2,   9.4,  16.0,  22.6,  29.2,  35.7,  42.5
  1, "ARP 303 Like FN",         1,  66.1,  15.6,  23.3,  30.6,  38.0,  45.0,  52.7
  2, "ARP 303 Like II FN",      1,  66.1,  16.0,  24.1,  31.9,  39.9,  47.4,  55.8
  3, "ARP C64 FN",              1,  66.7,  22.5,  35.8,  48.8,  62.1,  75.2,  88.5
  4, "ARP C64 II FN",           1,  66.7,  21.9,  35.1,  47.9,  60.9,  73.5,  86.5
  5, "ARP C64 III FN",          1,  66.7,  21.9,  35.0,  48.2,  61.8,  75.2,  88.2
  6, "ARP C64 IV FN",           1,  66.1,  18.7,  26.6,  34.6,  42.7,  50.9,  58.7
  7, "ARP Demotrack ARP FN",    6,  66.7,  11.1,  18.8,  26.4,  34.0,  41.4,  49.2
  8, "ARP Rumpelkammer FN",     1,  66.7,  12.8,  21.5,  30.2,  38.7,  47.4,  56.0
  9, "BS 007 X",                6,  66.7,  12.1,  20.4,  28.5,  36.8,  45.0,  53.3
 10, "BS 7th Gates FN",         1,  67.4,  10.1,  17.3,  24.2,  31.1,  38.0,  44.7
 11, "BS Bass Deep Room",       1,  66.7,  15.5,  23.1,  30.3,  37.7,  44.7,  51.8
 12, "BS Bassolead FN",         1,  67.4,  18.5,  27.6,  36.8,  46.1,  55.5,  65.0
 13, "BS Basspa_ FN",           1,  67.4,  12.2,  20.5,  28.7,  36.9,  45.1,  53.3
 14, "BS C64 Octavebass FN",    1,  67.4,  17.7,  30.1,  42.0,  54.4,  66.3,  78.6
 15, "BS Clean Flat Bass",      1,  67.4,  10.0,  17.2,  24.3,  31.3,  38.4,  45.6
 16, "BS D&B Wubler",           1,  67.4,  10.9,  19.0,  26.6,  34.5,  42.1,  50.1
 17, "BS Dark Bass",            1,  68.0,  10.7,  18.9,  26.8,  34.5,  42.1,  49.7
 18, "BS Dark Night FN",        3,  67.4,  11.8,  19.1,  26.2,  33.6,  40.6,  48.1
 19, "BS Detuned FN",           1,  67.4,  12.3,  20.5,  28.8,  37.0,  45.0,  53.3
 20, "BS Easy Listener FN",     6,  67.4,  12.1,  20.4,  28.5,  36.8,  45.0,  53.2
 21, "BS Energyator FN",        1,  68.7,  10.3,  17.5,  24.5,  31.9,  38.8,  46.0
 22, "BS Fat Side FN",          1,  68.0,  10.8,  18.9,  26.9,  34.8,  42.2,  50.1
 23, "BS Flamming Bass FN",     1,  67.4,  11.8,  19.6,  27.5,  35.3,  42.9,  50.9
 24, "BS Goodspeed FN",         1,  68.0,  15.6,  22.9,  30.0,  37.3,  44.4,  51.9
 25, "BS Hard 80's",            1,  68.7,  10.9,  17.6,  24.1,  30.8,  37.3,  43.9
 26, "BS Knarziger FN",         1,  68.0,  11.2,  17.9,  24.8,  31.9,  38.6,  45.6
 27, "BS LFO Roller FN",        1,  68.0,  11.9,  19.9,  28.0,  36.2,  43.9,  52.3
 28, "BS Madskillz FN",         1,  68.0,  15.1,  21.8,  28.4,  35.5,  42.0,  49.6
 29, "BS Mixmiddle FN",         1,  68.7,  14.2,  25.7,  37.1,  48.7,  60.2,  71.8
 30, "BS Night And Day FN",     6,  67.4,  12.0,  20.0,  28.0,  35.9,  43.9,  52.2
 31, "BS Noizigian FN",         1,  68.0,  11.9,  20.2,  28.5,  36.9,  45.1,  53.5
 32, "BS Open Bass FN",         1,  68.0,  10.8,  18.4,  25.9,  33.7,  41.1,  49.1
 33, "BS Pluggiator FN",        1,  68.7,  15.7,  23.3,  30.6,  37.8,  45.1,  52.8
 34, "BS SAWbreaker FN",        1,  68.7,  11.7,  19.2,  26.4,  33.7,  41.0,  48.6
 35, "BS Sawlight FN",          1,  68.7,  13.1,  20.5,  27.9,  35.3,  42.8,  50.2
 36, "BS Sci Fi",               1,  68.7,  16.1,  27.6,  39.6,  51.5,  63.4,  75.2
 37, "BS Slow Filter FN",       1,  68.0,  17.7,  26.3,  34.9,  43.6,  51.8,  60.2
 38, "BS Small Bassist FN",     6,  68.0,  17.2,  25.2,  33.2,  41.3,  49.3,  57.4
 39, "BS Syncetel Bass FN",     6,  68.0,  11.2,  18.0,  24.9,  31.8,  38.7,  45.8
 40, "BS Tripple Wobbler",      1,  68.7,  10.4,  18.1,  25.6,  33.2,  40.6,  48.1
 41, "BS Wobbler FN",           1,  68.7,  17.9,  26.9,  35.8,  44.9,  53.6,  63.1
 42, "BS Wobbler II FN",        1,  68.7,  18.5,  27.8,  37.4,  47.1,  56.8,  66.7
